id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
19,혐오와 혐오가 만날 때: 온라인 커뮤니티에 나타난 정치 혐오 및 사회 혐오 키워드의 결합에 대한 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 11개의 온라인 커뮤니티에서 수집한 혐오 게시글을 분석해 사회·정치 현상을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 혐오 키워드라는 온라인에서 발생한 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례일 뿐이므로 WINDOW에 해당한다."
20,뉴노멀 시대에 한국교회의 변화와 전망: 온라인 공동체를 중심으로,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 본문은 교회의 온라인 신앙생활 인식 변화를 논의하지만, 구체적인 온라인 커뮤니티 자체를 분석하거나 그 역할·환경을 비교·분석하지 않는다","본문은 교회의 온라인 신앙생활 인식 변화를 논의하지만, 구체적인 온라인 커뮤니티 자체를 분석하거나 그 역할·환경을 비교·분석하지 않는다"
21,비대면 상황에서의 온라인 커뮤니티 활동이 삶 만족도에 미치는 영향: 코로나19 이전(2017년)과 이후(2021년) 비교를 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 활동이 사회적 자본과 삶의 만족도에 미치는 영향을 분석하여 커뮤니티를 현상 사례(창)로 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 활동이라는 구체적인 현상(온라인에서 일어난 사건·현상) 자체가 분석 대상이며, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
22,새로운 사회운동 방식을 통한 집단기억의 형성과 유지: 스누라이프에서의 태그달기,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 SNULife라는 온라인 커뮤니티를 분석 대상으로 삼아 태그달기라는 사회운동 메커니즘을 탐구하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 ‘태그달기’라는 온라인에서 발생한 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
24,성별영향평가를 통한 김포한강신도시의 여성친화도시 계획수립에 관한 연구,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 여성친화적 도시계획과 성별영향평가를 다루며, 온라인 커뮤니티는 연구 대상이 아니고 단순히 언급도 되지 않는다","논문은 여성친화적 도시계획과 성별영향평가를 다루며, 온라인 커뮤니티는 연구 대상이 아니고 단순히 언급도 되지 않는다"
26,온라인 커뮤니티의 신뢰형성이 구매의도에 미치는 영향,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 내 신뢰 형성 요인과 구매 의도 영향을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 자체의 신뢰 형성 메커니즘과 그 역할을 분석하고 있으며, 커뮤니티라는 공간이 구매 의도에 미치는 영향을 규명하려는 것이므로 FIELD에 해당한다."
27,사용자간 상호작용성(User-to-User Interactivity)의 측정을 위한 척도 개발과 검증:온라인 브랜드 커뮤니티를 대상으로,FIELD,FIELD,,,ROLE_FIELD,ERR,,run1:없음,True,1/1,run1:없음,False,False,False,"has_community=False role_relevant=False env_relevant=False | 논문은 사용자간 상호작용성 척도 개발에 초점을 맞추며 특정 온라인 커뮤니티를 분석 대상으로 삼지 않고, 커뮤니티는 측정 대상 개념으로만 언급된다","논문은 사용자간 상호작용성 척도 개발에 초점을 맞추며 특정 온라인 커뮤니티를 분석 대상으로 삼지 않고, 커뮤니티는 측정 대상 개념으로만 언급된다"
28,장애대학생의 개인심리 변인에 따른 역량 영향,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 장애학생의 역량과 심리 변인을 조사하기 위해 온라인 커뮤니티를 모집 경로로만 활용했으며, 온라인 커뮤니티 자체를 분석 대상이나 역할·환경 요인으로 조명하지 않는다","논문은 장애학생의 역량과 심리 변인을 조사하기 위해 온라인 커뮤니티를 모집 경로로만 활용했으며, 온라인 커뮤니티 자체를 분석 대상이나 역할·환경 요인으로 조명하지 않는다"
29,‘엄마표 영어’담론 분석:토픽모델링과 감성분석의 적용,WINDOW,WINDOW,,,ROLE_WINDOW,ERR,,run1:없음,True,1/1,run1:없음,False,False,False,"has_community=True role_relevant=False env_relevant=False | 논문은 온라인 육아 커뮤니티의 데이터를 분석 대상으로 삼지만, 커뮤니티 자체의 사회적 역할이나 구조·운영 조건을 비교·분석하지 않는다","논문은 온라인 육아 커뮤니티의 데이터를 분석 대상으로 삼지만, 커뮤니티 자체의 사회적 역할이나 구조·운영 조건을 비교·분석하지 않는다"
30,온라인 탐구환경에서의 학습경험: 효과적인 탐구학습 설계를 위한 시사,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 온라인 교육·탐구학습 설계와 학습자 경험을 다루며, 온라인 커뮤니티 자체나 그 역할·환경을 분석 대상으로 삼지 않는다","논문은 온라인 교육·탐구학습 설계와 학습자 경험을 다루며, 온라인 커뮤니티 자체나 그 역할·환경을 분석 대상으로 삼지 않는다"
